injury_id,date_id,player_id,main_injury_category_id,secondary_injury_category_id,injury_category_text,status
49,19831201,76249,3,4,Arm/Hand,Relinquished
50,19831204,77984,8,0,Knee,Relinquished
51,19840101,78395,3,4,Arm/Hand,Relinquished
52,19840103,77633,3,4,Arm/Hand,Relinquished
53,19840107,78233,5,0,Back,Relinquished
54,19840119,76478,8,0,Knee,Relinquished
55,19840202,77916,1,2,Ankle/Foot,Relinquished
56,19840213,77135,8,0,Knee,Relinquished
57,19840218,1006,1,2,Ankle/Foot,Relinquished
58,19840302,76786,8,0,Knee,Relinquished
59,19840331,77582,1,2,Ankle/Foot,Relinquished
60,19841012,77697,9,0,Muscular,Relinquished
61,19841023,77183,1,2,Ankle/Foot,Relinquished
62,19841025,77236,8,0,Knee,Relinquished
63,19841025,77263,5,0,Back,Relinquished
64,19841106,78025,9,0,Muscular,Relinquished
65,19841124,78369,9,0,Muscular,Relinquished
66,19841126,76362,1,2,Ankle/Foot,Relinquished
67,19841127,77183,1,2,Ankle/Foot,Relinquished
68,19841212,77263,9,0,Muscular,Relinquished
69,19841214,76599,1,2,Ankle/Foot,Relinquished
70,19841214,203580,1,2,Ankle/Foot,Relinquished
71,19841229,77353,1,2,Ankle/Foot,Relinquished
72,19850110,76785,3,4,Arm/Hand,Relinquished
73,19850207,76043,9,0,Muscular,Relinquished
74,19850211,2399,5,0,Back,Relinquished
75,19850211,76616,5,0,Back,Relinquished
76,19850213,77146,1,2,Ankle/Foot,Relinquished
77,19850220,77487,8,0,Knee,Relinquished
78,19850302,77670,8,0,Knee,Relinquished
79,19850319,1626204,9,0,Muscular,Relinquished
80,19850323,76170,3,4,Arm/Hand,Relinquished
81,19850325,76785,3,4,Arm/Hand,Relinquished
82,19850411,76713,1,2,Ankle/Foot,Relinquished
83,19851008,77516,8,0,Knee,Relinquished
84,19851022,78133,8,0,Knee,Relinquished
85,19851024,76362,1,2,Ankle/Foot,Relinquished
86,19851024,77373,8,0,Knee,Relinquished
87,19851028,895,8,0,Knee,Relinquished
88,19851029,78323,1,2,Ankle/Foot,Relinquished
89,19851105,893,1,2,Ankle/Foot,Relinquished
90,19851112,2,9,0,Muscular,Relinquished
91,19851204,9,9,0,Muscular,Relinquished
92,19851217,901,8,0,Knee,Relinquished
93,19860105,78183,8,0,Knee,Relinquished
94,19860227,77183,1,2,Ankle/Foot,Relinquished
95,19860305,76453,3,4,Arm/Hand,Relinquished
96,19860409,78030,8,0,Knee,Relinquished
97,19860913,76641,1,2,Ankle/Foot,Relinquished
98,19861030,76093,1,2,Ankle/Foot,Relinquished
99,19861030,77757,5,0,Back,Relinquished
100,19861030,78418,3,4,Arm/Hand,Relinquished
101,19861102,78395,3,4,Arm/Hand,Relinquished
102,19861117,101,1,2,Ankle/Foot,Relinquished
103,19861120,76539,5,0,Back,Relinquished
104,19861121,78139,8,0,Knee,Relinquished
105,19861208,77936,8,0,Knee,Relinquished
106,19861229,76046,8,0,Knee,Relinquished
107,19870105,78351,1,2,Ankle/Foot,Relinquished
108,19870108,77879,3,4,Arm/Hand,Relinquished
109,19870109,9,3,4,Arm/Hand,Relinquished
110,19870109,77879,3,4,Arm/Hand,Relinquished
111,19870123,76869,1,2,Ankle/Foot,Relinquished
112,19870123,76082,1,2,Ankle/Foot,Relinquished
113,19870213,76968,8,0,Knee,Relinquished
114,19870305,76831,8,0,Knee,Relinquished
115,19870321,201607,8,0,Knee,Relinquished
116,19870326,78139,9,0,Muscular,Relinquished
117,19870403,175,1,2,Ankle/Foot,Relinquished
118,19871031,76834,8,0,Knee,Relinquished
119,19871101,78323,1,2,Ankle/Foot,Relinquished
120,19871101,1626204,3,4,Arm/Hand,Relinquished
121,19871103,1450,1,2,Ankle/Foot,Relinquished
122,19871103,76641,1,2,Ankle/Foot,Relinquished
123,19871103,77770,5,0,Back,Relinquished
124,19871112,77615,8,0,Knee,Relinquished
125,19871130,738,1,2,Ankle/Foot,Relinquished
126,19871130,77946,1,2,Ankle/Foot,Relinquished
127,19871130,78375,8,0,Knee,Relinquished
128,19871201,698,9,0,Muscular,Relinquished
129,19871201,77144,9,0,Muscular,Relinquished
130,19871204,1474,1,2,Ankle/Foot,Relinquished
131,19871213,77332,3,4,Arm/Hand,Relinquished
132,19871216,77456,8,0,Knee,Relinquished
133,19871217,1123,5,0,Back,Relinquished
134,19880102,78271,8,0,Knee,Relinquished
135,19880109,199,8,0,Knee,Relinquished
136,19880109,202130,8,0,Knee,Relinquished
137,19880114,1474,1,2,Ankle/Foot,Relinquished
138,19880117,78404,5,0,Back,Relinquished
139,19880128,77134,3,4,Arm/Hand,Relinquished
140,19880130,78007,1,2,Ankle/Foot,Relinquished
141,19880223,76154,3,4,Arm/Hand,Relinquished
142,19880226,77034,1,2,Ankle/Foot,Relinquished
143,19880229,78404,5,0,Back,Relinquished
144,19880302,78351,1,2,Ankle/Foot,Relinquished
145,19880319,199,8,0,Knee,Relinquished
146,19880319,202130,8,0,Knee,Relinquished
147,19880404,76436,5,0,Back,Relinquished
148,19881102,76944,5,0,Back,Relinquished
149,19881103,78257,8,0,Knee,Relinquished
150,19881216,364,5,0,Back,Relinquished
151,19881231,76862,3,4,Arm/Hand,Relinquished
152,19890102,78418,1,2,Ankle/Foot,Relinquished
153,19890214,76231,8,0,Knee,Relinquished
154,19890309,77969,5,0,Back,Relinquished
155,19890310,707,5,0,Back,Relinquished
156,19890310,76528,5,0,Back,Relinquished
157,19890310,77057,1,2,Ankle/Foot,Relinquished
158,19890321,77879,1,2,Ankle/Foot,Relinquished
159,19891216,442,10,0,Other,Relinquished
160,19900117,166,8,0,Knee,Relinquished
161,19900117,1631199,8,0,Knee,Relinquished
162,19900325,77034,5,0,Back,Relinquished
163,19901031,41,1,2,Ankle/Foot,Relinquished
164,19901113,330,8,0,Knee,Relinquished
165,19901116,1100,8,0,Knee,Relinquished
166,19901121,78554,1,2,Ankle/Foot,Relinquished
167,19901121,78575,1,2,Ankle/Foot,Relinquished
168,19901206,738,3,4,Arm/Hand,Relinquished
169,19910109,76497,9,0,Muscular,Relinquished
170,19910114,47,1,2,Ankle/Foot,Relinquished
171,19910114,165,11,0,Surgery,Relinquished
172,19910121,364,1,2,Ankle/Foot,Relinquished
173,19910121,705,3,4,Arm/Hand,Relinquished
174,19910122,22,5,0,Back,Relinquished
175,19910125,78318,3,4,Arm/Hand,Relinquished
176,19910203,393,3,4,Arm/Hand,Relinquished
177,19910211,77387,8,0,Knee,Relinquished
178,19910226,76387,5,0,Back,Relinquished
179,19910304,77872,1,2,Ankle/Foot,Relinquished
180,19910402,368,5,0,Back,Relinquished
181,19910402,76703,1,2,Ankle/Foot,Relinquished
182,19910418,279,9,0,Muscular,Relinquished
183,19910418,77178,9,0,Muscular,Relinquished
184,19910420,921,3,4,Arm/Hand,Relinquished
185,19911107,77034,8,0,Knee,Relinquished
186,19911117,76362,3,4,Arm/Hand,Relinquished
187,19920102,737,1,2,Ankle/Foot,Relinquished
188,19920129,78273,3,4,Arm/Hand,Relinquished
189,19920213,368,5,0,Back,Relinquished
190,19921105,78478,9,0,Muscular,Relinquished
191,19921118,291,8,0,Knee,Relinquished
192,19921204,760,8,0,Knee,Relinquished
193,19921223,1122,3,4,Arm/Hand,Relinquished
194,19921230,17,8,0,Knee,Relinquished
195,19930108,281,8,0,Knee,Relinquished
196,19930112,78035,8,0,Knee,Relinquished
197,19930323,404,8,0,Knee,Relinquished
198,19931104,1080,8,0,Knee,Relinquished
199,19940225,176,5,0,Back,Relinquished
200,19940226,762,8,0,Knee,Relinquished
201,19941027,904,8,0,Knee,Relinquished
202,19941101,111,8,0,Knee,Relinquished
203,19941102,285,9,0,Muscular,Relinquished
204,19941102,321,5,0,Back,Relinquished
205,19941102,442,8,0,Knee,Relinquished
206,19941102,78293,8,0,Knee,Relinquished
207,19941103,29,1,2,Ankle/Foot,Relinquished
208,19941103,35,5,0,Back,Relinquished
209,19941103,41,8,0,Knee,Relinquished
210,19941103,57,1,2,Ankle/Foot,Relinquished
211,19941103,82,1,2,Ankle/Foot,Relinquished
212,19941103,88,1,2,Ankle/Foot,Relinquished
213,19941103,78440,8,0,Knee,Relinquished
214,19941103,78554,8,0,Knee,Relinquished
215,19941103,78575,8,0,Knee,Relinquished
216,19941103,78656,5,0,Back,Relinquished
217,19941103,1861,1,2,Ankle/Foot,Relinquished
218,19941103,76148,1,2,Ankle/Foot,Relinquished
219,19941103,76961,5,0,Back,Relinquished
220,19941103,77081,8,0,Knee,Relinquished
221,19941103,77358,8,0,Knee,Relinquished
222,19941103,78286,1,2,Ankle/Foot,Relinquished
223,19941103,1101,8,0,Knee,Relinquished
224,19941103,1137,5,0,Back,Relinquished
225,19941103,1432,9,0,Muscular,Relinquished
226,19941103,1460,8,0,Knee,Relinquished
227,19941103,1489,8,0,Knee,Relinquished
228,19941103,378,8,0,Knee,Relinquished
229,19941103,783,3,4,Arm/Hand,Relinquished
230,19941103,786,1,2,Ankle/Foot,Relinquished
231,19941103,903,5,0,Back,Relinquished
232,19941103,914,1,2,Ankle/Foot,Relinquished
233,19941103,921,5,0,Back,Relinquished
234,19941103,132,3,4,Arm/Hand,Relinquished
235,19941103,146,8,0,Knee,Relinquished
236,19941103,164,1,2,Ankle/Foot,Relinquished
237,19941103,192,5,0,Back,Relinquished
238,19941103,345,1,2,Ankle/Foot,Relinquished
239,19941104,77030,8,0,Knee,Relinquished
240,19941110,787,9,0,Muscular,Relinquished
241,19941114,149,9,0,Muscular,Relinquished
242,19941115,212,8,0,Knee,Relinquished
243,19941115,226,5,0,Back,Relinquished
244,19941116,428,8,0,Knee,Relinquished
245,19941116,1474,8,0,Knee,Relinquished
246,19941119,111,8,0,Knee,Relinquished
247,19941120,393,3,4,Arm/Hand,Relinquished
248,19941126,134,9,0,Muscular,Relinquished
249,19941129,49,8,0,Knee,Relinquished
250,19941129,369,3,4,Arm/Hand,Relinquished
251,19941130,236,1,2,Ankle/Foot,Relinquished
252,19941130,903,8,0,Knee,Relinquished
253,19941130,76195,8,0,Knee,Relinquished
254,19941202,199,8,0,Knee,Relinquished
255,19941202,916,1,2,Ankle/Foot,Relinquished
256,19941202,202130,8,0,Knee,Relinquished
257,19941204,243,3,4,Arm/Hand,Relinquished
258,19941206,213,5,0,Back,Relinquished
259,19941206,335,3,4,Arm/Hand,Relinquished
260,19941207,78379,1,2,Ankle/Foot,Relinquished
261,19941210,283,1,2,Ankle/Foot,Relinquished
262,19941210,932,3,4,Arm/Hand,Relinquished
263,19941212,129,3,4,Arm/Hand,Relinquished
264,19941212,931,8,0,Knee,Relinquished
265,19941212,76961,8,0,Knee,Relinquished
266,19941212,78286,8,0,Knee,Relinquished
267,19941214,1027,3,4,Arm/Hand,Relinquished
268,19941216,351,8,0,Knee,Relinquished
269,19941220,894,5,0,Back,Relinquished
270,19941223,185,3,4,Arm/Hand,Relinquished
271,19941227,891,1,2,Ankle/Foot,Relinquished
272,19941227,925,7,0,Illness,Relinquished
273,19941230,932,3,4,Arm/Hand,Relinquished
274,19941230,76903,5,0,Back,Relinquished
275,19950102,128,1,2,Ankle/Foot,Relinquished
276,19950102,1006,3,4,Arm/Hand,Relinquished
277,19950103,283,1,2,Ankle/Foot,Relinquished
278,19950103,1474,8,0,Knee,Relinquished
279,19950109,9,1,2,Ankle/Foot,Relinquished
280,19950109,768,3,4,Arm/Hand,Relinquished
281,19950109,1667,1,2,Ankle/Foot,Relinquished
282,19950113,351,1,2,Ankle/Foot,Relinquished
283,19950113,77449,1,2,Ankle/Foot,Relinquished
284,19950116,67,8,0,Knee,Relinquished
285,19950117,280,1,2,Ankle/Foot,Relinquished
286,19950118,77081,8,0,Knee,Relinquished
287,19950119,243,3,4,Arm/Hand,Relinquished
288,19950119,904,1,2,Ankle/Foot,Relinquished
289,19950120,400,3,4,Arm/Hand,Relinquished
290,19950126,899,3,4,Arm/Hand,Relinquished
291,19950127,78293,8,0,Knee,Relinquished
292,19950131,76217,3,4,Arm/Hand,Relinquished
293,19950201,925,1,2,Ankle/Foot,Relinquished
294,19950202,61,9,0,Muscular,Relinquished
295,19950202,1814,1,2,Ankle/Foot,Relinquished
296,19950202,203147,1,2,Ankle/Foot,Relinquished
297,19950204,364,3,4,Arm/Hand,Relinquished
298,19950206,35,1,2,Ankle/Foot,Relinquished
299,19950206,330,8,0,Knee,Relinquished
300,19950208,77358,5,0,Back,Relinquished
301,19950214,109,5,0,Back,Relinquished
302,19950214,378,8,0,Knee,Relinquished
303,19950214,943,7,0,Illness,Relinquished
304,19950215,189,9,0,Muscular,Relinquished
305,19950218,351,1,2,Ankle/Foot,Relinquished
306,19950221,475,8,0,Knee,Relinquished
307,19950221,771,1,2,Ankle/Foot,Relinquished
308,19950221,938,8,0,Knee,Relinquished
309,19950221,78440,8,0,Knee,Relinquished
310,19950222,160,5,0,Back,Relinquished
311,19950222,224,3,4,Arm/Hand,Relinquished
312,19950222,1073,8,0,Knee,Relinquished
313,19950223,440,5,0,Back,Relinquished
314,19950224,112,9,0,Muscular,Relinquished
315,19950224,378,8,0,Knee,Relinquished
316,19950226,41,1,2,Ankle/Foot,Relinquished
317,19950226,1593,5,0,Back,Relinquished
318,19950227,133,8,0,Knee,Relinquished
319,19950228,248,1,2,Ankle/Foot,Relinquished
320,19950228,364,3,4,Arm/Hand,Relinquished
321,19950301,223,1,2,Ankle/Foot,Relinquished
322,19950302,61,9,0,Muscular,Relinquished
323,19950302,109,5,0,Back,Relinquished
324,19950303,123,8,0,Knee,Relinquished
325,19950303,1090,1,2,Ankle/Foot,Relinquished
326,19950304,754,1,2,Ankle/Foot,Relinquished
327,19950304,77372,1,2,Ankle/Foot,Relinquished
328,19950306,234,1,2,Ankle/Foot,Relinquished
329,19950307,293,8,0,Knee,Relinquished
330,19950307,1520,8,0,Knee,Relinquished
331,19950307,78179,8,0,Knee,Relinquished
332,19950313,76903,5,0,Back,Relinquished
333,19950314,47,9,0,Muscular,Relinquished
334,19950316,149,9,0,Muscular,Relinquished
335,19950317,101,3,4,Arm/Hand,Relinquished
336,19950318,54,1,2,Ankle/Foot,Relinquished
337,19950319,404,1,2,Ankle/Foot,Relinquished
338,19950320,23,3,4,Arm/Hand,Relinquished
339,19950320,907,5,0,Back,Relinquished
340,19950321,146,8,0,Knee,Relinquished
341,19950322,705,9,0,Muscular,Relinquished
342,19950323,355,1,2,Ankle/Foot,Relinquished
343,19950323,440,7,0,Illness,Relinquished
344,19950324,226,8,0,Knee,Relinquished
345,19950324,289,3,4,Arm/Hand,Relinquished
346,19950324,416,1,2,Ankle/Foot,Relinquished
347,19950324,76362,3,4,Arm/Hand,Relinquished
348,19950325,189,3,4,Arm/Hand,Relinquished
349,19950326,369,3,4,Arm/Hand,Relinquished
350,19950328,296,1,2,Ankle/Foot,Relinquished
351,19950401,160,5,0,Back,Relinquished
352,19950401,1474,8,0,Knee,Relinquished
353,19950404,197,1,2,Ankle/Foot,Relinquished
354,19950404,356,9,0,Muscular,Relinquished
355,19950405,80,5,0,Back,Relinquished
356,19950407,1667,1,2,Ankle/Foot,Relinquished
357,19950408,1101,8,0,Knee,Relinquished
358,19950411,77905,5,0,Back,Relinquished
359,19950414,1821,8,0,Knee,Relinquished
360,19950415,104,5,0,Back,Relinquished
361,19950415,112,5,0,Back,Relinquished
362,19950417,240,5,0,Back,Relinquished
363,19950417,916,5,0,Back,Relinquished
364,19950418,2349,1,2,Ankle/Foot,Relinquished
365,19950419,278,1,2,Ankle/Foot,Relinquished
366,19950420,149,9,0,Muscular,Relinquished
367,19950420,310,5,0,Back,Relinquished
368,19950421,157,1,2,Ankle/Foot,Relinquished
369,19950422,61,3,4,Arm/Hand,Relinquished
370,19951031,203,1,2,Ankle/Foot,Relinquished
371,19951031,226,8,0,Knee,Relinquished
372,19951031,404,8,0,Knee,Relinquished
373,19951031,712,8,0,Knee,Relinquished
374,19951031,715,1,2,Ankle/Foot,Relinquished
375,19951031,921,5,0,Back,Relinquished
376,19951031,1432,9,0,Muscular,Relinquished
377,19951101,692,1,2,Ankle/Foot,Relinquished
378,19951102,22,1,2,Ankle/Foot,Relinquished
379,19951102,35,8,0,Knee,Relinquished
380,19951102,61,9,0,Muscular,Relinquished
381,19951102,95,9,0,Muscular,Relinquished
382,19951102,111,8,0,Knee,Relinquished
383,19951102,185,3,4,Arm/Hand,Relinquished
384,19951102,76683,9,0,Muscular,Relinquished
385,19951102,78656,5,0,Back,Relinquished
386,19951102,925,3,4,Arm/Hand,Relinquished
387,19951102,1034,8,0,Knee,Relinquished
388,19951102,1106,3,4,Arm/Hand,Relinquished
389,19951102,76097,8,0,Knee,Relinquished
390,19951102,76583,9,0,Muscular,Relinquished
391,19951102,687,1,2,Ankle/Foot,Relinquished
392,19951102,722,5,0,Back,Relinquished
393,19951102,723,8,0,Knee,Relinquished
394,19951102,763,1,2,Ankle/Foot,Relinquished
395,19951102,786,5,0,Back,Relinquished
396,19951102,917,8,0,Knee,Relinquished
397,19951102,364,1,2,Ankle/Foot,Relinquished
398,19951102,365,9,0,Muscular,Relinquished
399,19951102,406,3,4,Arm/Hand,Relinquished
400,19951102,433,3,4,Arm/Hand,Relinquished
401,19951102,438,1,2,Ankle/Foot,Relinquished
402,19951102,442,8,0,Knee,Relinquished
403,19951102,197,1,2,Ankle/Foot,Relinquished
404,19951102,223,1,2,Ankle/Foot,Relinquished
405,19951102,224,3,4,Arm/Hand,Relinquished
406,19951102,280,1,2,Ankle/Foot,Relinquished
407,19951102,321,5,0,Back,Relinquished
408,19951102,353,1,2,Ankle/Foot,Relinquished
409,19951108,475,3,4,Arm/Hand,Relinquished
410,19951108,899,1,2,Ankle/Foot,Relinquished
411,19951111,2349,1,2,Ankle/Foot,Relinquished
412,19951114,23,9,0,Muscular,Relinquished
413,19951114,363,1,2,Ankle/Foot,Relinquished
414,19951114,725,5,0,Back,Relinquished
415,19951115,244,8,0,Knee,Relinquished
416,19951115,351,1,2,Ankle/Foot,Relinquished
417,19951115,200793,8,0,Knee,Relinquished
418,19951116,273,5,0,Back,Relinquished
419,19951121,88,5,0,Back,Relinquished
420,19951121,731,3,4,Arm/Hand,Relinquished
421,19951122,149,9,0,Muscular,Relinquished
422,19951122,240,5,0,Back,Relinquished
423,19951124,701,5,0,Back,Relinquished
424,19951125,35,8,0,Knee,Relinquished
425,19951127,265,1,2,Ankle/Foot,Relinquished
426,19951130,914,1,2,Ankle/Foot,Relinquished
427,19951130,1855,3,4,Arm/Hand,Relinquished
428,19951130,76821,1,2,Ankle/Foot,Relinquished
429,19951201,376,9,0,Muscular,Relinquished
430,19951202,724,1,2,Ankle/Foot,Relinquished
431,19951205,203,5,0,Back,Relinquished
432,19951206,320,1,2,Ankle/Foot,Relinquished
433,19951206,673,5,0,Back,Relinquished
434,19951206,679,8,0,Knee,Relinquished
435,19951207,925,3,4,Arm/Hand,Relinquished
436,19951210,176,5,0,Back,Relinquished
437,19951210,780,1,2,Ankle/Foot,Relinquished
438,19951212,281,8,0,Knee,Relinquished
439,19951212,469,8,0,Knee,Relinquished
440,19951213,297,1,2,Ankle/Foot,Relinquished
441,19951216,38,7,0,Illness,Relinquished
442,19951216,368,3,4,Arm/Hand,Relinquished
443,19951218,76097,8,0,Knee,Relinquished
444,19951221,677,1,2,Ankle/Foot,Relinquished
445,19951222,76683,9,0,Muscular,Relinquished
446,19951223,234,1,2,Ankle/Foot,Relinquished
447,19951223,725,5,0,Back,Relinquished
448,19960102,696,1,2,Ankle/Foot,Relinquished
449,19960103,63,3,4,Arm/Hand,Relinquished
450,19960103,197,3,4,Arm/Hand,Relinquished
451,19960103,78197,3,4,Arm/Hand,Relinquished
452,19960105,175,9,0,Muscular,Relinquished
453,19960105,384,1,2,Ankle/Foot,Relinquished
454,19960106,80,5,0,Back,Relinquished
455,19960106,351,1,2,Ankle/Foot,Relinquished
456,19960108,462,1,2,Ankle/Foot,Relinquished
457,19960109,719,3,4,Arm/Hand,Relinquished
458,19960110,446,3,4,Arm/Hand,Relinquished
459,19960115,236,8,0,Knee,Relinquished
460,19960116,289,1,2,Ankle/Foot,Relinquished
461,19960117,677,1,2,Ankle/Foot,Relinquished
462,19960119,907,3,4,Arm/Hand,Relinquished
463,19960120,53,3,4,Arm/Hand,Relinquished
464,19960120,402,9,0,Muscular,Relinquished
465,19960123,234,1,2,Ankle/Foot,Relinquished
466,19960123,780,5,0,Back,Relinquished
467,19960124,88,8,0,Knee,Relinquished
468,19960126,475,8,0,Knee,Relinquished
469,19960127,1432,3,4,Arm/Hand,Relinquished
470,19960129,122,5,0,Back,Relinquished
471,19960131,725,5,0,Back,Relinquished
472,19960131,1855,3,4,Arm/Hand,Relinquished
473,19960201,26,8,0,Knee,Relinquished
474,19960201,36,8,0,Knee,Relinquished
475,19960202,185,3,4,Arm/Hand,Relinquished
476,19960202,899,1,2,Ankle/Foot,Relinquished
477,19960212,149,9,0,Muscular,Relinquished
478,19960216,383,3,4,Arm/Hand,Relinquished
479,19960216,891,3,4,Arm/Hand,Relinquished
480,19960216,76821,1,2,Ankle/Foot,Relinquished
481,19960219,768,5,0,Back,Relinquished
482,19960221,63,1,2,Ankle/Foot,Relinquished
483,19960221,273,5,0,Back,Relinquished
484,19960221,78197,1,2,Ankle/Foot,Relinquished
485,19960222,211,8,0,Knee,Relinquished
486,19960222,279,5,0,Back,Relinquished
487,19960222,77178,5,0,Back,Relinquished
488,19960223,730,8,0,Knee,Relinquished
489,19960224,17,8,0,Knee,Relinquished
490,19960224,726,8,0,Knee,Relinquished
491,19960225,2349,1,2,Ankle/Foot,Relinquished
492,19960228,244,1,2,Ankle/Foot,Relinquished
493,19960228,723,5,0,Back,Relinquished
494,19960228,200793,1,2,Ankle/Foot,Relinquished
495,19960229,780,1,2,Ankle/Foot,Relinquished
496,19960301,129,1,2,Ankle/Foot,Relinquished
497,19960301,720,1,2,Ankle/Foot,Relinquished
498,19960302,203,8,0,Knee,Relinquished
499,19960303,117,8,0,Knee,Relinquished
500,19960304,36,9,0,Muscular,Relinquished
501,19960304,82,1,2,Ankle/Foot,Relinquished
502,19960304,730,8,0,Knee,Relinquished
503,19960305,700,5,0,Back,Relinquished
504,19960306,417,1,2,Ankle/Foot,Relinquished
505,19960306,934,1,2,Ankle/Foot,Relinquished
506,19960307,72,1,2,Ankle/Foot,Relinquished
507,19960308,47,3,4,Arm/Hand,Relinquished
508,19960309,216,3,4,Arm/Hand,Relinquished
509,19960310,54,5,0,Back,Relinquished
510,19960315,114,8,0,Knee,Relinquished
511,19960315,355,9,0,Muscular,Relinquished
512,19960315,926,1,2,Ankle/Foot,Relinquished
513,19960316,679,5,0,Back,Relinquished
514,19960317,475,1,2,Ankle/Foot,Relinquished
515,19960320,457,9,0,Muscular,Relinquished
516,19960321,938,3,4,Arm/Hand,Relinquished
517,19960322,28,1,2,Ankle/Foot,Relinquished
518,19960322,376,1,2,Ankle/Foot,Relinquished
519,19960322,412,5,0,Back,Relinquished
520,19960322,723,8,0,Knee,Relinquished
521,19960323,698,8,0,Knee,Relinquished
522,19960323,77144,8,0,Knee,Relinquished
523,19960327,739,3,4,Arm/Hand,Relinquished
524,19960328,26,8,0,Knee,Relinquished
525,19960328,346,1,2,Ankle/Foot,Relinquished
526,19960329,715,1,2,Ankle/Foot,Relinquished
527,19960402,239,3,4,Arm/Hand,Relinquished
528,19960402,725,5,0,Back,Relinquished
529,19960402,726,9,0,Muscular,Relinquished
530,19960405,929,5,0,Back,Relinquished
531,19960412,160,8,0,Knee,Relinquished
532,19960412,368,1,2,Ankle/Foot,Relinquished
533,19960412,402,1,2,Ankle/Foot,Relinquished
534,19960414,679,8,0,Knee,Relinquished
535,19960415,710,8,0,Knee,Relinquished
536,19960416,292,8,0,Knee,Relinquished
537,19960416,683,5,0,Back,Relinquished
538,19960417,82,9,0,Muscular,Relinquished
539,19960419,166,1,2,Ankle/Foot,Relinquished
540,19960419,783,3,4,Arm/Hand,Relinquished
541,19960419,1631199,1,2,Ankle/Foot,Relinquished
542,19960420,109,1,2,Ankle/Foot,Relinquished
543,19960420,423,8,0,Knee,Relinquished
544,19960421,17,8,0,Knee,Relinquished
545,19960421,22,1,2,Ankle/Foot,Relinquished
546,19960911,22,11,0,Surgery,Relinquished
547,19961030,456,5,0,Back,Relinquished
548,19961030,764,5,0,Back,Relinquished
549,19961030,979,8,0,Knee,Relinquished
550,19961030,992,9,0,Muscular,Relinquished
551,19961030,1059,1,2,Ankle/Foot,Relinquished
552,19961031,22,1,2,Ankle/Foot,Relinquished
553,19961031,37,9,0,Muscular,Relinquished
554,19961031,49,5,0,Back,Relinquished
555,19961031,52,1,2,Ankle/Foot,Relinquished
556,19961031,65,1,2,Ankle/Foot,Relinquished
557,19961031,88,1,2,Ankle/Foot,Relinquished
558,19961031,78575,1,2,Ankle/Foot,Relinquished
559,19961031,200793,5,0,Back,Relinquished
560,19961031,1101,8,0,Knee,Relinquished
561,19961031,1108,9,0,Muscular,Relinquished
562,19961031,1109,11,0,Surgery,Relinquished
563,19961031,77144,8,0,Knee,Relinquished
564,19961031,77178,5,0,Back,Relinquished
565,19961031,78554,1,2,Ankle/Foot,Relinquished
566,19961031,984,8,0,Knee,Relinquished
567,19961031,997,9,0,Muscular,Relinquished
568,19961031,1027,8,0,Knee,Relinquished
